budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,train,124,power,0.8,32768,free,3.24067751943,0.182775099435,4.35827554854,0.8,1
1e+19,train,124,logarithmic,0.2,2048,1x,3.20239564752,0.460755928105,1.80120880977,1,1
1e+19,train,124,logarithmic,0.2,2048,2x,3.20239564752,0.460755924477,1.80120881732,1,1
1e+19,train,124,logarithmic,0.2,2048,3x,3.20239564752,0.460755887705,1.80120889378,1,1
1e+19,train,124,logarithmic,0.2,2048,5x,3.20239564752,0.460755892258,1.80120888432,1,1
1e+19,train,124,logarithmic,0.2,2048,free,3.20239564752,0.460755887021,1.80120889521,1,1
1e+19,train,124,logarithmic,0.2,32768,1x,3.31575107344,0.300381746231,1.56999716385,1,1
1e+19,train,124,logarithmic,0.2,32768,2x,3.31575107344,0.300381754808,1.56999713731,1,1
1e+19,train,124,logarithmic,0.2,32768,3x,3.31575107344,0.300381735287,1.56999719772,1,1
1e+19,train,124,logarithmic,0.2,32768,5x,3.31575107344,0.30038176768,1.56999709748,1,1
1e+19,train,124,logarithmic,0.2,32768,free,3.31575107344,0.300381752845,1.56999714339,1,1
1e+19,train,124,logarithmic,0.8,2048,1x,3.04689595362,0.279830412591,4.55592820304,1,1
1e+19,train,124,logarithmic,0.8,2048,2x,3.04689595362,0.27983042524,4.55592803475,1,1
1e+19,train,124,logarithmic,0.8,2048,3x,3.04689595362,0.279830421064,4.55592809032,1,1
1e+19,train,124,logarithmic,0.8,2048,5x,3.04689595362,0.279830418141,4.55592812919,1,1
1e+19,train,124,logarithmic,0.8,2048,free,3.04689595362,0.279830423074,4.55592806357,1,1
1e+19,train,124,logarithmic,0.8,32768,1x,3.17966723283,0.194911100791,3.51101727365,1,1
1e+19,train,124,logarithmic,0.8,32768,2x,3.17966723283,0.194911105271,3.51101720432,1,1
1e+19,train,124,logarithmic,0.8,32768,3x,3.17966723283,0.194911123552,3.51101692142,1,1
1e+19,train,124,logarithmic,0.8,32768,5x,3.17966723283,0.194911122013,3.51101694523,1,1
1e+19,train,124,logarithmic,0.8,32768,free,3.17966723283,0.194911124399,3.51101690832,1,1
1e+19,train,88,exponential,0.2,2048,1x,3.19771405282,0.369324494274,3.08349569832,0.751636083043,1
1e+19,train,88,exponential,0.2,2048,2x,3.19771405282,0.369324494274,3.08349569832,0.751636083043,1
1e+19,train,88,exponential,0.2,2048,3x,3.19771405282,0.369324494274,3.08349569832,0.751636083043,1
1e+19,train,88,exponential,0.2,2048,5x,3.19771405282,0.369324494274,3.08349569832,0.751636083043,1
1e+19,train,88,exponential,0.2,2048,free,3.19771405282,0.369324494274,3.08349569832,0.751636083043,1
