folder,file,model_name,result_date,tasks
Aryanne_QwentileSwap,detailed_results\Aryanne_QwentileSwap\results_2025-03-14T11-42-48.673718.json,Aryanne/QwentileSwap,1741870615.4336636,44
Aryanne_SHBA,detailed_results\Aryanne_SHBA\results_2025-01-14T02-47-19.535563.json,Aryanne/SHBA,1736821026.4448602,44
Aryanne_SuperHeart,detailed_results\Aryanne_SuperHeart\results_2024-09-23T11-59-42.090754.json,Aryanne/SuperHeart,1727090636.4601269,44
asharsha30_LLAMA_Harsha_8_B_ORDP_10k,detailed_results\asharsha30_LLAMA_Harsha_8_B_ORDP_10k\results_2024-12-02T04-58-31.780769.json,asharsha30/LLAMA_Harsha_8_B_ORDP_10k,1733113755.3284056,44
AtAndDev_Qwen2.5-1.5B-continuous-learnt,detailed_results\AtAndDev_Qwen2.5-1.5B-continuous-learnt\results_2024-10-15T04-55-44.027283.json,AtAndDev/Qwen2.5-1.5B-continuous-learnt,1728966548.8083882,44
Ateron_Glowing-Forest-12B,detailed_results\Ateron_Glowing-Forest-12B\results_2025-03-06T15-03-45.762050.json,Ateron/Glowing-Forest-12B,1741271298.899786,44
Ateron_Lotus-Magpic,detailed_results\Ateron_Lotus-Magpic\results_2025-03-05T13-12-09.385184.json,Ateron/Lotus-Magpic,1741178272.413424,44
Ateron_Way_of_MagPicaro,detailed_results\Ateron_Way_of_MagPicaro\results_2025-03-05T15-31-39.956586.json,Ateron/Way_of_MagPicaro,1741186655.619772,44
AuraIndustries_Aura-4B,detailed_results\AuraIndustries_Aura-4B\results_2024-12-18T03-06-02.963485.json,AuraIndustries/Aura-4B,1734489790.772635,44
AuraIndustries_Aura-8B,detailed_results\AuraIndustries_Aura-8B\results_2024-12-11T04-50-16.483325.json,AuraIndustries/Aura-8B,1733891101.6094694,44
AuraIndustries_Aura-MoE-2x4B,detailed_results\AuraIndustries_Aura-MoE-2x4B\results_2024-12-18T04-41-59.014444.json,AuraIndustries/Aura-MoE-2x4B,1734494552.7933226,44
AuraIndustries_Aura-MoE-2x4B-v2,detailed_results\AuraIndustries_Aura-MoE-2x4B-v2\results_2024-12-18T04-58-06.054592.json,AuraIndustries/Aura-MoE-2x4B-v2,1734495692.6315074,44
Aurel9_testmerge-7b,detailed_results\Aurel9_testmerge-7b\results_2024-11-20T00-59-08.345134.json,Aurel9/testmerge-7b,1732063222.5142367,44
awnr_Mistral-7B-v0.1-signtensors-1-over-4,detailed_results\awnr_Mistral-7B-v0.1-signtensors-1-over-4\results_2024-07-22T12-11-38.418833.json,awnr/Mistral-7B-v0.1-signtensors-1-over-4,1721648797.3653972,44
axolotl-ai-co_romulus-mistral-nemo-12b-simpo,detailed_results\axolotl-ai-co_romulus-mistral-nemo-12b-simpo\results_2024-07-26T17-54-00.090079.json,axolotl-ai-co/romulus-mistral-nemo-12b-simpo,1722013231.1556876,44
Ayush-Singh_Llama1B-sft-2,detailed_results\Ayush-Singh_Llama1B-sft-2\results_2025-02-05T09-53-28.796940.json,Ayush-Singh/Llama1B-sft-2,1738748304.581623,44
Azure99_blossom-v5-32b,detailed_results\Azure99_blossom-v5-32b\results_2024-09-27T16-03-40.225448.json,Azure99/blossom-v5-32b,1727439475.9634144,44
Azure99_blossom-v5-llama3-8b,detailed_results\Azure99_blossom-v5-llama3-8b\results_2024-09-21T11-45-04.971156.json,Azure99/blossom-v5-llama3-8b,1726917035.3106976,44
Azure99_blossom-v5.1-34b,detailed_results\Azure99_blossom-v5.1-34b\results_2024-07-17T02-52-19.756120.json,Azure99/blossom-v5.1-34b,1721176817.6192234,44
Azure99_blossom-v5.1-9b,detailed_results\Azure99_blossom-v5.1-9b\results_2024-07-17T00-49-16.822666.json,Azure99/blossom-v5.1-9b,1721174497.1551821,44
Azure99_Blossom-V6-14B,detailed_results\Azure99_Blossom-V6-14B\results_2025-02-01T09-24-58.712862.json,Azure99/Blossom-V6-14B,1738396543.1657233,44
Azure99_Blossom-V6-7B,detailed_results\Azure99_Blossom-V6-7B\results_2025-02-01T08-37-59.351105.json,Azure99/Blossom-V6-7B,1738396926.646477,44
Ba2han_Llama-Phi-3_DoRA,detailed_results\Ba2han_Llama-Phi-3_DoRA\results_2024-07-29T08-29-23.036311.json,Ba2han/Llama-Phi-3_DoRA,1722240501.0218887,44
BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference,detailed_results\BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference\results_2024-09-03T10-12-22.221077.json,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,1725351377.2931983,44
BAAI_Infinity-Instruct-3M-0613-Llama3-70B,detailed_results\BAAI_Infinity-Instruct-3M-0613-Llama3-70B\results_2024-07-25T07-35-25.760033.json,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,1721867850.664568,44
