budget,cap,policy,split,bootstrap_replicate,cost_model,Q0,L_ctx,N_B,D_B,Q_B,loss,cap_oracle_loss,free_oracle_loss,within_cap_regret,free_regret,feasible,cost_ratio
1e+19,1x,nominal_shared,train,124,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.24349894105,3.24349894105,0.137477483112,0.137477483112,True,0.689361357392
1e+19,1x,nominal_shared,train,124,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.37602585355,3.37602585355,0.00495057061172,0.00495057061172,True,1
1e+19,1x,nominal_shared,train,124,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.09371067363,3.09371067363,0.287265750536,0.287265750536,True,0.356439970523
1e+19,1x,nominal_shared,train,124,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.24067751943,3.24067751943,0.140298904729,0.140298904729,True,0.667078613131
1e+19,1x,nominal_shared,train,124,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.20239564752,3.20239564752,0.178580776639,0.178580776639,True,0.689361357391
1e+19,1x,nominal_shared,train,124,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.31575107344,3.31575107344,0.0652253507258,0.0652253507258,True,1
1e+19,1x,nominal_shared,train,124,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.04689595362,3.04689595362,0.334080470542,0.334080470542,True,0.330781429181
1e+19,1x,nominal_shared,train,124,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.17966723283,3.17966723283,0.201309191334,0.201309191334,True,0.641420071789
1e+19,1x,nominal_shared,train,88,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.19771405282,3.19771405282,0.180483746772,0.180483746772,True,0.540502736107
1e+19,1x,nominal_shared,train,88,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.32823988316,3.32823988316,0.0499579164286,0.0499579164286,True,0.851141378715
1e+19,1x,nominal_shared,train,88,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.09068216831,3.09068216831,0.287515631277,0.287515631277,True,0.347619996946
1e+19,1x,nominal_shared,train,88,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.23733481917,3.23733481917,0.140862980418,0.140862980418,True,0.658258639554
1e+19,1x,nominal_shared,train,88,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.24148925579,3.24148925579,0.136708543799,0.136708543799,True,0.689361357392
1e+19,1x,nominal_shared,train,88,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.37324660703,3.37324660703,0.00495119256031,0.00495119256031,True,1
1e+19,1x,nominal_shared,train,88,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.09068216831,3.09068216831,0.287515631277,0.287515631277,True,0.356439970523
1e+19,1x,nominal_shared,train,88,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.23733481917,3.23733481917,0.140862980418,0.140862980418,True,0.667078613131
1e+19,1x,nominal_shared,train,88,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.20245654729,3.20245654729,0.1757412523,0.1757412523,True,0.689361357391
1e+19,1x,nominal_shared,train,88,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.31581413287,3.31581413287,0.0623836667225,0.0623836667225,True,1
1e+19,1x,nominal_shared,train,88,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37819779959,3.04694648774,3.04694648774,0.331251311852,0.331251311852,True,0.330781429181
