dataset,model,validation_domain,n,rmse,bias,spearman
est_10b,additive_clr_spline,hackernews,63,3.6143203668204595,3.59609801575911,0.03489823348694316
est_10b,additive_clr_spline,pubmed_abstracts,63,3.6202624359896367,3.5882427076942753,0.3712557603686636
est_10b,additive_clr_spline,uspto_backgrounds,63,3.431150882620995,3.4054076587392133,0.46901964552683206
est_10b,lowrank_ilr_quadratic,arxiv,63,3.4458792716062767,3.3729594510311043,0.8687115975422428
est_10b,lowrank_ilr_quadratic,freelaw,63,3.4714301544584583,3.4335863252789114,0.8353014592933947
est_10b,lowrank_ilr_quadratic,pubmed_central,63,3.501184326541549,3.4504482266509355,0.8087077572964669
est_10b,lowrank_ilr_quadratic,wikipedia_en,63,3.8604319139826986,3.841059078003522,0.5085327510285608
est_10b,lowrank_ilr_quadratic,dm_mathematics,63,2.9438731724911937,2.8055207628126944,0.8706317204301075
est_10b,lowrank_ilr_quadratic,github,63,3.6528488479573906,3.584295210612774,0.8283410138248848
est_10b,lowrank_ilr_quadratic,stackexchange,63,3.568742586376735,3.5241954295933224,0.7136942408136917
est_10b,lowrank_ilr_quadratic,gutenberg_pg_19,63,3.564670842257749,3.5473606924481915,0.5611079109062981
est_10b,lowrank_ilr_quadratic,pile_cc,63,3.8032708719430617,3.793153750735221,0.3199404761904762
est_10b,lowrank_ilr_quadratic,ubuntu_irc,63,4.544268083679232,4.4950610008718455,0.766081029185868
est_10b,lowrank_ilr_quadratic,hackernews,63,3.6017791850717327,3.590834219078412,0.23108678955453152
est_10b,lowrank_ilr_quadratic,pubmed_abstracts,63,3.6373129576350793,3.616201996220637,0.543154761904762
est_10b,lowrank_ilr_quadratic,uspto_backgrounds,63,3.4211630901173993,3.3985966091604456,0.5552101960148752
est_70b,v2,arxiv,63,3.801790799041569,3.717428971207149,0.820468509984639
est_70b,v2,freelaw,63,3.84660829707222,3.805651510708772,0.7496639784946237
est_70b,v2,pubmed_central,63,3.8721435085059257,3.811688124010682,0.6971966205837173
est_70b,v2,wikipedia_en,63,4.265880986098711,4.2464228395602985,0.410810291858679
est_70b,v2,dm_mathematics,63,3.194864205521051,3.029520232233327,0.8995295698924732
est_70b,v2,github,63,4.018961774782332,3.9437406430110524,0.7391993087557605
est_70b,v2,stackexchange,63,3.9319392878473582,3.8824303030389276,0.5681231774023905
est_70b,v2,gutenberg_pg_19,63,3.9483705114215297,3.930672942210285,0.45900537634408606
est_70b,v2,pile_cc,63,4.211601587603652,4.20150435665026,0.22215821812596004
est_70b,v2,ubuntu_irc,63,5.003817503137478,4.949444205094013,0.658754065356401
est_70b,v2,hackernews,63,3.9954868197750466,3.9829471394768454,0.1072388632872504
est_70b,v2,pubmed_abstracts,63,4.0010367562912315,3.978748983546906,0.3884888632872504
est_70b,v2,uspto_backgrounds,63,3.7864977659197474,3.763633352420205,0.47653793547557677
est_70b,additive_clr_spline,arxiv,63,3.801029972905852,3.700546134309786,0.7697772657450077
est_70b,additive_clr_spline,freelaw,63,3.863239269143373,3.8135596072863924,0.6826036866359447
est_70b,additive_clr_spline,pubmed_central,63,3.8772151187211352,3.8022414437043848,0.6477054531490015
est_70b,additive_clr_spline,wikipedia_en,63,4.276282905429971,4.252647621312376,0.24486367127496161
est_70b,additive_clr_spline,dm_mathematics,63,3.243474899168955,3.041898419700595,0.8158602150537635
