outer_fold,model,spec,inner_rmse,selected
3,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4202327452986575,False
3,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.47134172340694314,False
3,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7135791581458135,False
3,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7124988790575955,False
3,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.716097166855146,False
3,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.632199509893672,False
3,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6277392076045422,False
3,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6309876851337944,False
3,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.42256696021166323,False
3,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.42013880600587816,True
3,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.471915354384153,False
4,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2624722913865162,False
4,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.26450207640401907,False
4,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.28703283886862124,False
4,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2714822581271329,False
4,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2619174554005845,True
4,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.27603545393030915,False
4,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2707445844274324,False
4,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2736516374988995,False
