draw,Q0,L_ctx,cost_model,G,kappa,eta_N,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
16,0.6,32768,logarithmic,0.354436460458,1.01614420403,0.155638337273,1e+24,29.6494706274,2680.16350756,1,1.93778340708,1e+24,4.76792575164e+23,2.42278806923e+21,5.20784636766e+23,0.476792575164,0.00242278806923,0.520784636766,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
17,0.8,4096,exponential,0.357204709567,0.97171385055,0.177015755728,1e+19,0.246400923246,5.9514698964,0.8,3.10840146238,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,3.2640556924e-13,False,not_applicable,False,False,False,False,True,False
17,0.8,4096,exponential,0.357204709567,0.97171385055,0.177015755728,1e+22,5.3117085974,256.14237728,1,2.15312942125,1e+22,8.16332200533e+21,7.22112430208e+20,1.11456556446e+21,0.816332200533,0.0722112430208,0.111456556446,1,5.77315972805e-15,False,not_applicable,False,False,False,False,False,True
17,0.8,4096,exponential,0.357204709567,0.97171385055,0.177015755728,1e+24,39.420848014,3681.37235533,1,1.91588765642,1e+24,8.70736920614e+23,1.03784651577e+22,1.18884614228e+23,0.870736920614,0.0103784651577,0.118884614228,1,2.16049400592e-13,False,not_applicable,False,False,False,False,False,True
18,0.6,32768,logarithmic,0.354308198107,0.988529085985,0.162896249734,1e+19,0.22544221676,2.67803463102,1,3.21863417254,1e+19,3.62245238266e+18,2.42086362818e+18,3.95668398916e+18,0.362245238266,0.242086362818,0.395668398916,1,2.6645352591e-15,False,not_applicable,False,False,False,False,False,True
18,0.6,32768,logarithmic,0.354308198107,0.988529085985,0.162896249734,1e+22,3.77811045421,206.898587982,1,2.19394389487,1e+22,4.69011430931e+21,1.87030167783e+20,5.12285552291e+21,0.469011430931,0.0187030167783,0.512285552291,1,9.7699626167e-14,False,not_applicable,False,False,False,False,False,True
18,0.6,32768,logarithmic,0.354308198107,0.988529085985,0.162896249734,1e+24,29.6494706274,2680.16350756,1,1.93778340708,1e+24,4.76792575164e+23,2.42278806923e+21,5.20784636766e+23,0.476792575164,0.00242278806923,0.520784636766,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
19,0.8,32768,power,0.359144921396,1.03078841556,0.15251258173,1e+19,0.180250010243,4.41932982791,0.8,3.23067579687,1e+19,4.7795054805e+18,0,5.2204945195e+18,0.47795054805,0,0.52204945195,1,1.33226762955e-15,False,not_applicable,False,False,False,False,True,False
19,0.8,32768,power,0.359144921396,1.03078841556,0.15251258173,1e+22,3.95280384212,190.208383187,1,2.19715090251,1e+22,4.51113856718e+21,5.61495147168e+20,4.92736628565e+21,0.451113856718,0.0561495147168,0.492736628565,1,1.50546242139e-13,False,not_applicable,False,False,False,False,False,True
19,0.8,32768,power,0.359144921396,1.03078841556,0.15251258173,1e+24,29.8369147533,2648.9175554,1,1.93799170738,1e+24,4.74213163735e+23,7.81960462355e+21,5.17967231642e+23,0.474213163735,0.00781960462355,0.517967231642,1,2.18269846641e-13,False,not_applicable,False,False,False,False,False,True
20,0.6,32768,exponential,0.363214645702,0.979412499905,0.15970989447,1e+19,0.238968480608,2.68761783736,0.781406621285,3.30913468144,1e+19,3.85353570629e+18,1.93737569292e+18,4.20908860079e+18,0.385353570629,0.193737569292,0.420908860079,1,8.83737527602e-14,False,not_applicable,False,False,False,False,False,False
20,0.6,32768,exponential,0.363214645702,0.979412499905,0.15970989447,1e+22,4.01079659938,185.122648765,1,2.19822900467,1e+22,4.4549357408e+21,6.79086447389e+20,4.86597781181e+21,0.44549357408,0.0679086447389,0.486597781181,1,9.05941988094e-14,False,not_applicable,False,False,False,False,False,True
20,0.6,32768,exponential,0.363214645702,0.979412499905,0.15970989447,1e+24,29.9019659734,2638.20482911,1,1.93806414901,1e+24,4.73325066185e+23,9.67774152348e+21,5.16997192292e+23,0.473325066185,0.00967774152348,0.516997192292,1,7.9936057773e-15,False,not_applicable,False,False,False,False,False,True
21,0.8,32768,logarithmic,0.355025985223,1.01165625741,0.163426086233,1e+19,0.194902593632,3.51114892795,1,3.17970440062,1e+19,4.10599219611e+18,1.40916939449e+18,4.4848384094e+18,0.410599219611,0.140916939449,0.44848384094,1,2.6645352591e-15,False,not_applicable,False,False,False,False,False,True
21,0.8,32768,logarithmic,0.355025985223,1.01165625741,0.163426086233,1e+22,3.73294411264,211.580975221,1,2.19312569951,1e+22,4.73891973479e+21,8.49162028884e+19,5.17616406232e+21,0.473891973479,0.00849162028884,0.517616406232,1,5.99520433298e-14,False,not_applicable,False,False,False,False,False,True
21,0.8,32768,logarithmic,0.355025985223,1.01165625741,0.163426086233,1e+24,29.6031285039,2687.97568077,1,1.93773201528,1e+24,4.77434936959e+23,1.07879589849e+21,5.21486267142e+23,0.477434936959,0.00107879589849,0.521486267142,1,1.81410442224e-13,False,not_applicable,False,False,False,False,False,True
22,0.6,2048,exponential,0.3486941334,1.01265420789,0.163578012804,1e+19,0.314989699572,4.22427901889,0.711451180226,3.162398312,1e+19,7.98362627441e+18,1.47135817193e+18,5.45015553666e+17,0.798362627441,0.147135817193,0.0545015553666,1,1.02584607475e-13,False,not_applicable,False,False,False,False,False,False
22,0.6,2048,exponential,0.3486941334,1.01265420789,0.163578012804,1e+22,5.60550797132,252.542028181,1,2.15053333739,1e+22,8.49375811238e+21,9.26401333812e+20,5.79840553805e+20,0.849375811238,0.0926401333812,0.0579840553805,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
22,0.6,2048,exponential,0.3486941334,1.01265420789,0.163578012804,1e+24,40.7055588749,3779.65152084,1,1.91387169553,1e+24,9.23116965049e+23,1.3864916804e+22,6.30181181473e+22,0.923116965049,0.013864916804,0.0630181181473,1,6.70574706874e-14,False,not_applicable,False,False,False,False,False,True
23,0.6,2048,exponential,0.361556859245,0.994242513849,0.169018946383,1e+19,0.325103142143,4.0153959592,0.72453277209,3.17031911267,1e+19,7.83250705971e+18,1.63279379168e+18,5.34699148609e+17,0.783250705971,0.163279379168,0.0534699148609,1,3.97459842816e-13,False,not_applicable,False,False,False,False,False,False
23,0.6,2048,exponential,0.361556859245,0.994242513849,0.169018946383,1e+22,5.60550797132,252.542028181,1,2.15053333739,1e+22,8.49375811238e+21,9.26401333812e+20,5.79840553805e+20,0.849375811238,0.0926401333812,0.0579840553805,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
23,0.6,2048,exponential,0.361556859245,0.994242513849,0.169018946383,1e+24,40.7055549431,3779.65188086,1,1.91387169553,1e+24,9.23116963812e+23,1.38649181247e+22,6.30181180629e+22,0.923116963812,0.0138649181247,0.0630181180629,1,2.0872192863e-14,False,not_applicable,False,False,False,False,False,True
24,0.8,4096,exponential,0.366007734101,1.02112404523,0.197104557444,1e+19,0.249142173111,5.88598734143,0.8,3.10583792227,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,6.66133814775e-15,False,not_applicable,False,False,False,False,True,False
24,0.8,4096,exponential,0.366007734101,1.02112404523,0.197104557444,1e+22,5.3117085974,256.14237728,1,2.15312942125,1e+22,8.16332200533e+21,7.22112430208e+20,1.11456556446e+21,0.816332200533,0.0722112430208,0.111456556446,1,1.73194791842e-14,False,not_applicable,False,False,False,False,False,True
24,0.8,4096,exponential,0.366007734101,1.02112404523,0.197104557444,1e+24,39.420848014,3681.37235533,1,1.91588765642,1e+24,8.70736920614e+23,1.03784651577e+22,1.18884614228e+23,0.870736920614,0.0103784651577,0.118884614228,1,2.16049400592e-13,False,not_applicable,False,False,False,False,False,True
25,0.2,2048,power,0.358993166497,0.99982327959,0.161089785245,1e+19,0.390489992964,2.94550335376,0.651377420066,3.23946362387,1e+19,6.9011375033e+18,2.62774484314e+18,4.71117653559e+17,0.69011375033,0.262774484314,0.0471117653559,1,2.88657986403e-14,False,not_applicable,False,False,False,False,False,False
25,0.2,2048,power,0.358993166497,0.99982327959,0.161089785245,1e+22,5.79658940839,237.271457176,1,2.15294544544,1e+22,8.25219129348e+21,1.18445911422e+21,5.63349592301e+20,0.825219129348,0.118445911422,0.0563349592301,1,1.02140518266e-14,False,not_applicable,False,False,False,False,False,True
25,0.2,2048,power,0.358993166497,0.99982327959,0.161089785245,1e+24,40.9372009193,3739.95238866,1,1.91404421265,1e+24,9.1861909418e+23,1.86698423242e+22,6.2711063496e+22,0.91861909418,0.0186698423242,0.062711063496,1,8.43769498715e-15,False,not_applicable,False,False,False,False,False,True
26,0.2,4096,logarithmic,0.355137414379,1.01096885483,0.165560372245,1e+19,0.442741029884,1.78008616211,1,3.21220311778,1e+19,4.72870308416e+18,4.62567132142e+18,6.45625594424e+17,0.472870308416,0.462567132142,0.0645625594424,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
26,0.2,4096,logarithmic,0.355137414379,1.01096885483,0.165560372245,1e+22,5.27936631084,259.069903142,1,2.15271225253,1e+22,8.20634951281e+21,6.73210233706e+20,1.12044025348e+21,0.820634951281,0.0673210233706,0.112044025348,1,1.90958360236e-14,False,not_applicable,False,False,False,False,False,True
26,0.2,4096,logarithmic,0.355137414379,1.01096885483,0.165560372245,1e+24,39.3840660879,3687.77267007,1,1.91585931828,1e+24,8.71436895332e+23,9.58292055912e+21,1.18980184109e+23,0.871436895332,0.00958292055912,0.118980184109,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,True
27,0.2,2048,exponential,0.358755703951,1.01160186236,0.1485721833,1e+19,0.364218262109,3.15140072567,0.744681594649,3.19307292225,1e+19,6.88678617308e+18,2.64307589084e+18,4.70137936082e+17,0.688678617308,0.264307589084,0.0470137936082,1,3.36175531856e-13,False,not_applicable,False,False,False,False,False,False
27,0.2,2048,exponential,0.358755703951,1.01160186236,0.1485721833,1e+22,5.65455978486,248.480830674,1,2.15115005588,1e+22,8.43029827464e+21,9.94193363142e+20,5.75508362216e+20,0.843029827464,0.0994193363142,0.0575508362216,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
27,0.2,2048,exponential,0.358755703951,1.01160186236,0.1485721833,1e+24,40.7640158909,3769.57176238,1,1.91391519059,1e+24,9.21977299341e+23,1.50823836908e+22,6.29403169683e+22,0.921977299341,0.0150823836908,0.0629403169683,1,1.04360964315e-14,False,not_applicable,False,False,False,False,False,True
28,0.8,2048,power,0.357428296976,1.0044358407,0.183728561591,1e+19,0.253354904586,6.15800101801,0.8,3.09141301839,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,2.6645352591e-13,False,not_applicable,False,False,False,False,True,False
28,0.8,2048,power,0.357428296976,1.0044358407,0.183728561591,1e+22,5.49739721277,261.861561652,1,2.14918064674,1e+22,8.63734211495e+21,7.73015329997e+20,5.89642555048e+20,0.863734211495,0.0773015329997,0.0589642555048,1,4.4408920985e-15,False,not_applicable,False,False,False,False,False,True
28,0.8,2048,power,0.357428296976,1.0044358407,0.183728561591,1e+24,40.5791968481,3801.5814714,1,1.91377778789,1e+24,9.25590737172e+23,1.12222685036e+22,6.31869943243e+22,0.925590737172,0.0112222685036,0.0631869943243,1,1.86739512742e-13,False,not_applicable,False,False,False,False,False,True
