replicate,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
6,1e+22,5.43432381519,245.543106854,1,2.15470608176,1e+22,8.00616451938e+21,9.00727151577e+20,1.09310832905e+21,0.800616451938,0.0900727151577,0.109310832905,1,5.77315972805e-15,False,not_applicable,False,False,False,False,False,True
6,1e+24,39.5794785522,3655.38912949,1,1.91598620239,1e+24,8.68070373904e+23,1.34090843791e+22,1.18520541717e+23,0.868070373904,0.0134090843791,0.118520541717,1,1.1768364061e-14,False,not_applicable,False,False,False,False,False,True
7,1e+19,0.311510327928,3.94808738991,0.724960949327,3.1782016284,1e+19,7.37921998513e+18,1.61327051291e+18,1.00750950197e+18,0.737921998513,0.161327051291,0.100750950197,1,8.881784197e-15,False,not_applicable,False,False,False,False,False,False
7,1e+20,0.941912028511,11.029587053,0.951152838011,2.70153214526,1e+20,6.23334042885e+19,2.9156008246e+19,8.51058746552e+18,0.623334042885,0.29156008246,0.0851058746552,1,1.24789067968e-13,False,not_applicable,False,False,False,False,False,False
7,1e+22,5.43256610305,245.615394571,1,2.15470785641,1e+22,8.00593120159e+21,9.00992325014e+20,1.09307647339e+21,0.800593120159,0.0900992325014,0.109307647339,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
7,1e+24,39.5548678392,3657.63296679,1,1.91602980719,1e+24,8.68063131634e+23,1.341731546e+22,1.18519552906e+23,0.868063131634,0.01341731546,0.118519552906,1,5.39568389968e-14,False,not_applicable,False,False,False,False,False,True
8,1e+19,0.318480629079,3.82515353991,0.732093777462,3.18224792069,1e+19,7.30942383429e+18,1.69259616487e+18,9.97980000842e+17,0.730942383429,0.169259616487,0.0997980000842,1,2.57571741713e-14,False,not_applicable,False,False,False,False,False,False
8,1e+20,0.952592680233,10.7800952845,0.958572485073,2.70224134547,1e+20,6.16142391611e+19,2.99733633855e+19,8.41239745346e+18,0.616142391611,0.299733633855,0.0841239745346,1,7.1054273576e-14,False,not_applicable,False,False,False,False,False,False
8,1e+22,5.43295108305,245.599558233,1,2.15470992582,1e+22,8.00598231538e+21,9.00934232488e+20,1.09308345213e+21,0.800598231538,0.0900934232488,0.109308345213,1,2.6645352591e-15,False,not_applicable,False,False,False,False,False,True
8,1e+24,39.5596904762,3657.19305458,1,1.9159797865,1e+24,8.68064551507e+23,1.34157017276e+22,1.18519746766e+23,0.868064551507,0.0134157017276,0.118519746766,1,1.89848137211e-13,False,not_applicable,False,False,False,False,False,True
9,1e+19,0.331658403867,3.63207359814,0.74192263747,3.18695639619,1e+19,7.22764639371e+18,1.785538952e+18,9.86814654288e+17,0.722764639371,0.1785538952,0.0986814654288,1,1.95399252334e-14,False,not_applicable,False,False,False,False,False,False
9,1e+20,0.962563491573,10.5852208696,0.963930006667,2.70267356364,1e+20,6.1133682956e+19,3.05195315311e+19,8.34678551292e+18,0.61133682956,0.305195315311,0.0834678551292,1,8.34887714518e-14,False,not_applicable,False,False,False,False,False,False
9,1e+22,5.43161644529,245.654467934,1,2.15470230243,1e+22,8.00580508735e+21,9.01135658053e+20,1.09305925459e+21,0.800580508735,0.0901135658053,0.109305925459,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,True
9,1e+24,39.5370012881,3659.26364391,1,1.91599842135,1e+24,8.68057868417e+23,1.3423297282e+22,1.18518834301e+23,0.868057868417,0.013423297282,0.118518834301,1,1.7763568394e-14,False,not_applicable,False,False,False,False,False,True
10,1e+19,0.309911098075,3.95162081327,0.726809812466,3.18321825748,1e+19,7.34790687251e+18,1.64885890916e+18,1.00323421833e+18,0.734790687251,0.164885890916,0.100323421833,1,3.10862446895e-13,False,not_applicable,False,False,False,False,False,False
10,1e+20,0.968359018015,10.3332201724,0.973443854813,2.70322854284,1e+20,6.00376016345e+19,3.1765264489e+19,8.1971338765e+18,0.600376016345,0.31765264489,0.081971338765,1,0.000387729742085,False,not_applicable,False,False,False,False,False,False
10,1e+22,5.43198650967,245.639240276,1,2.15469748411,1e+22,8.00585423655e+21,9.01079798348e+20,1.0930659651e+21,0.800585423655,0.0901079798348,0.10930659651,1,2.6645352591e-15,False,not_applicable,False,False,False,False,False,True
10,1e+24,39.5435783562,3658.66318693,1,1.91600901433,1e+24,8.68059806468e+23,1.34210946223e+22,1.1851909891e+23,0.868059806468,0.0134210946223,0.11851909891,1,1.95399252334e-14,False,not_applicable,False,False,False,False,False,True
11,1e+19,0.309156898646,3.9883929197,0.722893806768,3.17961728978,1e+19,7.39823511381e+18,1.59165918532e+18,1.01010570087e+18,0.739823511381,0.159165918532,0.101010570087,1,4.84501327946e-13,False,not_applicable,False,False,False,False,False,False
11,1e+20,0.951271236594,10.7752967254,0.959267182625,2.70240594543,1e+20,6.1501379044e+19,3.01016326706e+19,8.39698828547e+18,0.61501379044,0.301016326706,0.0839698828547,1,2.30926389122e-14,False,not_applicable,False,False,False,False,False,False
11,1e+22,5.43387064997,245.561739667,1,2.15469983767,1e+22,8.00610437961e+21,9.00795502432e+20,1.09310011796e+21,0.800610437961,0.0900795502432,0.109310011796,1,1.85629289717e-13,False,not_applicable,False,False,False,False,False,True
11,1e+24,39.5743888573,3655.8529474,1,1.9159822352,1e+24,8.68068876873e+23,1.34107858049e+22,1.18520337322e+23,0.868068876873,0.0134107858049,0.118520337322,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
