replicate,cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
35,logarithmic,0.8,2048,1e+19,0.279816063094,4.55611911782,1,3.04689041846,1e+19,7.64925188721e+18,1.82855918396e+18,5.22188928833e+17,0.764925188721,0.182855918396,0.0522188928833,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
35,logarithmic,0.8,2048,1e+22,5.07991598226,303.383599016,1,2.14405277564,1e+22,9.24697916037e+21,1.21760395613e+20,6.31260444015e+20,0.924697916037,0.0121760395613,0.0631260444015,1,1.55431223448e-14,False,not_applicable,False,False,False,False,False,True
35,logarithmic,0.8,2048,1e+24,40.1401718113,3880.72533809,1,1.91348950455,1e+24,9.3463789094e+23,1.55749570498e+21,6.38046133548e+22,0.93463789094,0.00155749570498,0.0638046133548,1,1.57429624892e-13,False,not_applicable,False,False,False,False,False,True
36,exponential,0.2,4096,1e+19,0.35994787467,2.98844628709,0.754510456213,3.20875340427,1e+19,6.45410933762e+18,2.66468960082e+18,8.81201061563e+17,0.645410933762,0.266468960082,0.0881201061563,1,3.70370401015e-13,False,not_applicable,False,False,False,False,False,False
36,exponential,0.2,4096,1e+22,5.47842554555,241.782032736,1,2.15530572371,1e+22,7.94750918756e+21,9.67390891363e+20,1.08509992108e+21,0.794750918756,0.0967390891363,0.108509992108,1,4.4408920985e-16,False,not_applicable,False,False,False,False,False,True
36,exponential,0.2,4096,1e+24,39.6015049448,3648.94693985,1,1.91601353662,1e+24,8.67022741691e+23,1.45997533098e+22,1.18377504999e+23,0.867022741691,0.0145997533098,0.118377504999,1,3.5527136788e-15,False,not_applicable,False,False,False,False,False,True
37,power,0.2,4096,1e+19,0.378615633054,2.86589043213,0.65413514746,3.250420105,1e+19,6.51042552135e+18,2.6006843808e+18,8.88890097848e+17,0.651042552135,0.26006843808,0.0888890097848,1,7.63833440942e-14,False,not_applicable,False,False,False,False,False,False
37,power,0.2,4096,1e+22,5.61487750204,231.048411923,1,2.15705760193,1e+22,7.78385117992e+21,1.15339367232e+21,1.06275514776e+21,0.778385117992,0.115339367232,0.106275514776,1,3.5527136788e-15,False,not_applicable,False,False,False,False,False,True
37,power,0.2,4096,1e+24,39.7936773162,3618.55973881,1,1.91615263518,1e+24,8.63974791574e+23,1.80638502161e+22,1.1796135821e+23,0.863974791574,0.0180638502161,0.11796135821,1,1.04360964315e-14,False,not_applicable,False,False,False,False,False,True
38,logarithmic,0.2,4096,1e+19,0.442742794037,1.78008235012,1,3.21218464964,1e+19,4.72871179986e+18,4.62566141573e+18,6.45626784407e+17,0.472871179986,0.462566141573,0.0645626784407,1,4.35207425653e-14,False,not_applicable,False,False,False,False,False,True
38,logarithmic,0.2,4096,1e+22,5.2806083022,259.013071442,1,2.15271186804,1e+22,8.20647945262e+21,6.73062552785e+20,1.1204579946e+21,0.820647945262,0.0673062552785,0.11204579946,1,5.77315972805e-15,False,not_applicable,False,False,False,False,False,True
38,logarithmic,0.2,4096,1e+24,39.4001976194,3686.27725702,1,1.9158647968,1e+24,8.71440314439e+23,9.57903462967e+21,1.18980650931e+23,0.871440314439,0.00957903462967,0.118980650931,1,1.11022302463e-14,False,not_applicable,False,False,False,False,False,True
39,exponential,0.6,4096,1e+19,0.312125858351,3.93751330202,0.725520411483,3.18420519056,1e+19,7.37399831497e+18,1.6192051151e+18,1.00679656994e+18,0.737399831497,0.16192051151,0.100679656994,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,False
39,exponential,0.6,4096,1e+22,5.4352335183,245.505711086,1,2.15469877891,1e+22,8.00628521896e+21,9.00589972473e+20,1.09312480856e+21,0.800628521896,0.0900589972473,0.109312480856,1,2.04281036531e-14,False,not_applicable,False,False,False,False,False,True
39,exponential,0.6,4096,1e+24,39.5910388372,3654.33609142,1,1.91600721401,1e+24,8.68073772718e+23,1.34052215137e+22,1.18521005768e+23,0.868073772718,0.0134052215137,0.118521005768,1,2.04058991926e-13,False,not_applicable,False,False,False,False,False,True
40,power,0.6,4096,1e+19,0.272652098169,5.37845733443,0.6,3.19946491302,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,8.881784197e-16,False,not_applicable,False,False,False,False,True,False
40,power,0.6,4096,1e+22,5.52530659946,237.924324799,1,2.15593191806,1e+22,7.88762905192e+21,1.03544666153e+21,1.07692428656e+21,0.788762905192,0.103544666153,0.107692428656,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,True
40,power,0.6,4096,1e+24,39.6285176285,3641.83582693,1,1.91609005459,1e+24,8.65923331606e+23,1.58492695188e+22,1.18227398875e+23,0.865923331606,0.0158492695188,0.118227398875,1,1.42108547152e-14,False,not_applicable,False,False,False,False,False,True
41,logarithmic,0.6,4096,1e+19,0.321395740584,3.23035804519,1,3.10374414987,1e+19,6.22933989772e+18,2.92014756158e+18,8.50512540702e+17,0.622933989772,0.292014756158,0.0850512540702,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
41,logarithmic,0.6,4096,1e+22,5.01984949564,284.613822887,1,2.14939990207,1e+22,8.57231133161e+21,2.57282427913e+20,1.17040624048e+21,0.857231133161,0.0257282427913,0.117040624048,1,1.1990408666e-14,False,not_applicable,False,False,False,False,False,True
41,logarithmic,0.6,4096,1e+24,39.1183569154,3736.08490891,1,1.91570796365,1e+24,8.76897017598e+23,3.37730959973e+21,1.19725672803e+23,0.876897017598,0.00337730959973,0.119725672803,1,1.93178806285e-14,False,not_applicable,False,False,False,False,False,True
42,exponential,0.8,4096,1e+19,0.24144100612,6.07373080785,0.8,3.09697845976,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,2.6645352591e-15,False,not_applicable,False,False,False,False,True,False
42,exponential,0.8,4096,1e+22,5.31168565261,256.143403834,1,2.15313348629,1e+22,8.16331945895e+21,7.22115324254e+20,1.1145652168e+21,0.816331945895,0.0722115324254,0.11145652168,1,4.4408920985e-16,False,not_applicable,False,False,False,False,False,True
42,exponential,0.8,4096,1e+24,39.4219569666,3681.26987186,1,1.9158996254,1e+24,8.70737174826e+23,1.0378176238e+22,1.18884648936e+23,0.870737174826,0.010378176238,0.118884648936,1,2.14050999148e-13,False,not_applicable,False,False,False,False,False,True
43,power,0.8,4096,1e+19,0.249649331949,5.87403004725,0.8,3.11481147764,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,0.11544313668,False,not_applicable,False,False,False,False,True,False
43,power,0.8,4096,1e+22,5.32915087302,254.501199625,1,2.15337082506,1e+22,8.137651741e+21,7.51287541294e+20,1.1110607177e+21,0.8137651741,0.0751287541294,0.11110607177,1,1.99840144433e-14,False,not_applicable,False,False,False,False,False,True
43,power,0.8,4096,1e+24,39.4127538519,3680.32070342,1,1.91591020706,1e+24,8.70309443879e+23,1.08643067165e+22,1.18826249404e+23,0.870309443879,0.0108643067165,0.118826249404,1,2.70450328799e-13,False,not_applicable,False,False,False,False,False,True
44,logarithmic,0.8,4096,1e+19,0.270521872457,4.45219295483,1,3.05847196665,1e+19,7.22649344807e+18,1.78684931315e+18,9.86657238776e+17,0.722649344807,0.178684931315,0.0986657238776,1,2.6645352591e-15,False,not_applicable,False,False,False,False,False,True
44,logarithmic,0.8,4096,1e+22,4.93626508641,293.576083216,1,2.14835647889,1e+22,8.69501621869e+21,1.1782423358e+20,1.18715954773e+21,0.869501621869,0.011782423358,0.118715954773,1,1.46549439251e-14,False,not_applicable,False,False,False,False,False,True
